"conversation_id","h_newrate","a_newrate","h_jac","a_jac","h_echo","a_echo","h_len","a_len","h_nov","a_nov","emb_novelty_asym","newrate_asym","len_asym"
"conv_006cb479-ccd3-40d1-83fb-4b614573f636",0.718682359307359,0.826336318002985,0.0331555615017503,0.00444444444444444,0.0488955999066293,0.00925925925925926,10.4444444444444,15.2222222222222,-2.12031884463509,-1.91552886657593,-0.204789978059159,-0.107653958695625,4.77777777777778
"conv_02b6fce3-98d8-456f-b0e8-3708b9ca1968",0.820436507936508,0.730919960576823,0.0154166666666667,0.0842857142857143,0.025,0.135064935064935,12.5555555555556,15.8888888888889,-1.64126388193598,-2.70574669433411,1.06448281239813,0.0895165473596846,3.33333333333333
"conv_07ec1a21-00a8-494b-9747-ef2f719abd5a",0.804304029304029,0.882068452380952,0.0326952780368929,0.0197981366459627,0.056547619047619,0.040625,13.75,15.25,-1.7270660697022,-3.2565073799679,1.5294413102657,-0.077764423076923,1.5
"conv_11293fd2-d757-471f-8e2e-783542167a8e",0.752648209633504,0.758191980495902,0.051209982901559,0.033428409252164,0.0878836951447245,0.0680856180856181,13.6666666666667,15.6666666666667,-1.99750952916506,-2.84776103588575,0.850251506720684,-0.00554377086239832,2
"conv_155f7493-3058-435d-a672-40e7e8ec213a",0.795454545454545,0.800100665266106,0,0.0104166666666667,0,0.0229166666666667,11.5,15.375,-1.73671943008668,-3.17756175589428,1.4408423258076,-0.00464611981156104,3.875
"conv_18ba473d-8913-4785-95cf-9a5400887bb9",0.891171328671329,0.875485819327731,0.00595238095238095,0.0144781144781145,0.0102040816326531,0.0305397727272727,11.75,15,-2.36325191665951,-2.87961205924951,0.51636014259,0.0156855093435976,3.25
"conv_18be1999-da21-4ab6-8f9e-e52e6d9c8070",0.886538461538461,0.805804843304843,0.015,0.00910442214790041,0.0234375,0.0231481481481482,11.1111111111111,15.6666666666667,-2.15757439146957,-2.68114464729401,0.523570255824436,0.0807336182336182,4.55555555555556
"conv_193bbf9f-e759-475a-ae86-76613053567a",0.69993894993895,0.856393606393606,0.0433851862423291,0,0.0690412528647823,0,10.875,14,-1.69314058046253,-2.83902204295721,1.14588146249468,-0.156454656454657,3.125
"conv_1a776856-1876-44eb-b0f6-31b31250ddca",0.681107954545455,0.774373638344227,0.0196456552706553,0.0228893489763055,0.0318321078431373,0.0481481481481481,11.6666666666667,14.7777777777778,-1.74510585512639,-2.35657328871249,0.611467433586105,-0.093265683798772,3.11111111111111
"conv_1bb594f6-281e-43c0-aad7-d82e4a2ab88d",0.787076369009142,0.800443398513252,0.0306252769306956,0.0148097826086957,0.0572371256194786,0.028791520979021,14.75,15,-1.99946141289227,-2.2083728055903,0.208911392698032,-0.0133670295041094,0.25
"conv_20c3db22-5b6d-42fa-bdee-f1e1a84fe6e8",0.815178571428571,0.790862641352837,0.00931034482758621,0.0298509536440571,0.0173611111111111,0.0542328042328042,12.8888888888889,15.2222222222222,-2.11537351361047,-2.81352598334118,0.698152469730706,0.024315930075734,2.33333333333333
"conv_23ed55f8-cc91-439f-8c8e-e24f66457596",0.745623126873127,0.751234567901235,0.0196314102564103,0.0350611483703271,0.0323529411764706,0.0840869007535674,11.1111111111111,16.1111111111111,-1.83445718176173,-3.499876760119,1.66541957835727,-0.00561144102810773,5
"conv_29031421-8265-472f-b4ce-f147dd80edca",0.798744484681985,0.781458084399261,0.050152972027972,0.0385646452313119,0.0975753413253413,0.0683353683353683,14.3333333333333,13.3333333333333,-2.06986960743309,-3.23673640365972,1.16686679622664,0.0172864002827238,-1
"conv_2ce635fa-cb6c-424f-9565-859a944eed92",0.738644688644689,0.89500405425328,0.0382842764563195,0.00896358543417367,0.0623781676413255,0.0199175824175824,13.4285714285714,17.7142857142857,-1.47847873860228,-3.14920158531823,1.67072284671595,-0.156359365608592,4.28571428571429
"conv_2f306db5-d066-4651-b17c-762d7f601570",0.734332334332334,0.800423144966489,0.0427753395264916,0.0243017399267399,0.069817454647176,0.0516414141414141,12.5,15.75,-1.87796115364268,-2.65441070262537,0.776449548982687,-0.0660908106341542,3.25
"conv_328804bd-df9e-47da-ad43-e4da646b9ceb",0.765787783644927,0.839600840336134,0.0291005291005291,0.0350193325193325,0.0464985994397759,0.0779532967032967,11.25,15.625,-2.4001855287801,-2.49694983472543,0.0967643059453307,-0.073813056691208,4.375
"conv_33502e38-922d-4e7d-a252-ab236947c3d2",0.795325854700855,0.855634262251909,0.0228454968944099,0.0238208168642951,0.0363135638870933,0.0533702408702409,11.2222222222222,13.8888888888889,-1.89140397465825,-2.09162695700358,0.200222982345324,-0.0603084075510546,2.66666666666667
"conv_396737da-f9a2-4564-9edf-3712ef73724d",0.796536796536797,0.77124183006536,0.0124223602484472,0.039227286158508,0.0199175824175824,0.088304057054057,11.5,16.25,-1.6065694891082,-2.38322444318914,0.776654954080938,0.025294966471437,4.75
"conv_3b65e0a1-1bf7-4f16-825f-63867d60f8d3",0.817761852548037,0.859644712585889,0.0188279857397504,0.0204076529507564,0.0354779411764706,0.0366796621182586,17,16.1111111111111,-1.29318559155009,-2.97353704321306,1.68035145166297,-0.0418828600378522,-0.888888888888889
"conv_3c43f51a-ffcf-4161-8d6d-b76bf669acb6",0.746207377181642,0.820467114584762,0.0388024566013696,0.0283790283790284,0.0706019470725353,0.0489078822412156,14.6666666666667,14.3333333333333,-1.52877562863302,-2.5536160630545,1.02484043442148,-0.0742597374031198,-0.333333333333332
"conv_3c5b888e-d991-4bce-adad-5584923b75b5",0.765358691553545,0.789344424638542,0.0328194076038904,0.0209011534442569,0.0621689584924879,0.0395655270655271,13.7777777777778,14.4444444444444,-1.42106543138356,-3.08361055235419,1.66254512097063,-0.0239857330849977,0.666666666666666
"conv_40197f84-33aa-433b-93b1-045691051ebc",0.593043511110738,0.808637196137196,0.0675849754110624,0.0346777065527065,0.118046834118263,0.0612122252747253,14.125,13.875,-2.26926978665048,-2.78797035227653,0.51870056562605,-0.215593685026458,-0.25
"conv_41180468-5036-4f69-af66-b7465bcb7316",0.755521561771562,0.88363549123353,0.0229166666666667,0.0191100823045267,0.0359243697478992,0.0427220927220927,12,16.2222222222222,-1.97738179996725,-3.65643409685855,1.6790522968913,-0.128113929461969,4.22222222222222
"conv_412eb7ca-cafa-4e38-8b2d-0a40272af090",0.814935064935065,0.936437122926093,0.0215873015873016,0.00431034482758621,0.0338001867413632,0.0104166666666667,11.25,15.125,-1.98801487963121,-3.03582890548154,1.04781402585033,-0.121502057991029,3.875
"conv_46b5cd4c-130a-4b4c-84e1-30f78572d0bb",0.849342918985776,0.875079454858867,0.020906638517476,0.00520833333333333,0.0369047619047619,0.0113636363636364,13.75,14.875,-1.41533830207741,-2.49474101892281,1.0794027168454,-0.0257365358730905,1.125
"conv_47dd4912-f9ef-4d2c-a033-aeb851e8f164",0.693406593406593,0.769015068877201,0.0293031042807777,0.0318162963059235,0.0383907059327227,0.109561965811966,12.5,33.25,-2.11152060643275,-2.09440411304792,-0.0171164933848278,-0.0756084754706079,20.75
"conv_47df141a-738b-422a-8ad6-f222255c695e",0.813804945054945,0.84217501815541,0.00416666666666667,0.0153256704980843,0.00694444444444444,0.0312169312169312,14.6666666666667,16.8888888888889,-1.37186993402561,-2.99471762784593,1.62284769382032,-0.0283700731004652,2.22222222222222
"conv_491b62e9-789d-4b72-b887-557f2ccffc18",0.745169413919414,0.741899694350675,0.0339501069874492,0.0343605181536216,0.0553363813474108,0.0695767195767196,12.7777777777778,15.3333333333333,-1.72817332222476,-2.74271881471908,1.01454549249433,0.00326971956873923,2.55555555555556
"conv_49c214f3-8828-46e2-b76b-6c4f3ccaf016",0.740737833594976,0.802942186489981,0.0314625850340136,0.0362103174603175,0.0563671622495152,0.0722641941391941,14.25,15.25,-2.1667167852378,-2.65340843171804,0.486691646480237,-0.0622043528950041,1
