conversation_id,slope,alignment_direction
conv_006cb479-ccd3-40d1-83fb-4b614573f636,0.5181754012844667,User_to_AI
conv_07ec1a21-00a8-494b-9747-ef2f719abd5a,0.41497732825263656,User_to_AI
conv_0bb56093-3033-4615-bb70-ebfa4135589a,0.29022220251716985,User_to_AI
conv_0f18b30f-7d4b-4681-b98e-a0ff4f2b5256,0.5244391943234269,User_to_AI
conv_11293fd2-d757-471f-8e2e-783542167a8e,0.10225267992850497,User_to_AI
conv_155f7493-3058-435d-a672-40e7e8ec213a,0.26878364132589094,User_to_AI
conv_18ba473d-8913-4785-95cf-9a5400887bb9,0.26328510617446843,User_to_AI
conv_18be1999-da21-4ab6-8f9e-e52e6d9c8070,0.1054329868301622,User_to_AI
conv_193bbf9f-e759-475a-ae86-76613053567a,-0.1111018593371985,User_to_AI
conv_1a776856-1876-44eb-b0f6-31b31250ddca,-0.39827253896135334,User_to_AI
conv_1bb594f6-281e-43c0-aad7-d82e4a2ab88d,0.4911492918985352,User_to_AI
conv_20c3db22-5b6d-42fa-bdee-f1e1a84fe6e8,0.21879072601811517,User_to_AI
conv_29031421-8265-472f-b4ce-f147dd80edca,-0.3930685619240276,User_to_AI
conv_2f306db5-d066-4651-b17c-762d7f601570,-0.6712690475524774,User_to_AI
conv_328804bd-df9e-47da-ad43-e4da646b9ceb,0.6068816837157097,User_to_AI
conv_33502e38-922d-4e7d-a252-ab236947c3d2,0.07540678173830963,User_to_AI
conv_396737da-f9a2-4564-9edf-3712ef73724d,-0.07322474163542311,User_to_AI
conv_3c43f51a-ffcf-4161-8d6d-b76bf669acb6,-0.16419387794984183,User_to_AI
conv_3c5b888e-d991-4bce-adad-5584923b75b5,-0.4956156866666461,User_to_AI
conv_40197f84-33aa-433b-93b1-045691051ebc,0.1666565496281386,User_to_AI
conv_412eb7ca-cafa-4e38-8b2d-0a40272af090,-0.07260727083672454,User_to_AI
conv_46b5cd4c-130a-4b4c-84e1-30f78572d0bb,0.7057318084740899,User_to_AI
conv_47dd4912-f9ef-4d2c-a033-aeb851e8f164,0.533646133381122,User_to_AI
conv_49c214f3-8828-46e2-b76b-6c4f3ccaf016,0.22124830654951788,User_to_AI
conv_4aa46faf-273a-4707-be30-a0b216440d87,-0.25020181792462587,User_to_AI
